team,opponent_k_rate
ARI,0.201
ATL,0.24100000000000002
BAL,0.22
BOS,0.254
CHC,0.223
CWS,0.239
CIN,0.244
CLE,0.20199999999999999
COL,0.268
DET,0.243
HOU,0.193
KC,0.19399999999999998
LAA,0.237
LAD,0.214
MIA,0.233
MIL,0.237
MIN,0.213
NYM,0.22399999999999998
NYY,0.212
OAK,0.249
PHI,0.222
PIT,0.248
SD,0.177
SEA,0.268
SF,0.24
STL,0.21600000000000003
TB,0.247
TEX,0.212
TOR,0.204
WSH,0.204
League Average,0.226
